Se��o;Localiza��o ou subse��o;N� arq.;N�mero de Ordem;N�mero da photo;N�mero de pe�as;Descrip��o;Altura (m);Largura (m);Profundidade (m);Proveniencia;Valor individual, como consta grafado (de cada pe�a);Valor global, como consta grafado;Estado de Conserva��o;Observa��es;Data da informa��o
 Geral ;Gabinete do Ministro ;7772;293;00009;1;Mesa jacarand�, p�s de bolacha, com 1 gavet�o, 2 puxadores de ferro. Seculo XVII. Antiga. Mede 1m,03 x 0m,75 x 0m,90. ;1,03;0,75;0,9;Galeria Esslinger - Rio. ;2:000$000;;Bom ;em branco;19/12/1932
 Geral ;Gabinete do Ministro ;7772;294;em branco;1;Mesa de jacarand�, p�s de bolacha, 2 gaveta e 2 puxadores de madeira. Estylo seculo XVII. Antiga. Mede 0m,88 x 0m,70 x 0m,85.;0,88;0,7;0,85;Galeria Esslinger - Rio. ;2:000$000;;Bom ;em branco;19/12/1932
 Geral ;Gabinete do Ministro ;7772;295;00017;1;Mesa de jacarand�, p�s arquados, estylo seculo XVII. Antiga. Mede 0m,85 x 0m,56 x 0m,84;0,85;0,56;0,84;Galeria Esslinger - Rio. ;2:000$000;;Bom ;em branco;19/12/1932
 Geral ;Gabinete do Ministro ;7772;296;em branco ;1;Mesa jacarand�, p�s arqueados, com 1 gavet�o com puxadores de ferro. Estylo seculo XVII. Antiga. Mede 0m,87 x 0,m78 x 0m,60. ;0,87;0,78;0,6;Leil�o Bastos Dias - Rio. ;1:800$000;;Bom ;em branco;19/12/1932
 Geral ;Gabinete do Ministro ;7772;297;00063;1;Arca de jacarand� com 2 gavet�es, 1 tampo de abrir estylo gothico. Feita no seculo XVII. Com chave. Mede 1m,15 x 0m,60 x 0m,73;1,15;0,6;0,73;Alc�ntara, antiga capital do Maranh�o. ;2:500$000;;Bom ;em branco;19/12/1932
 Geral ;Gabinete do Ministro ;7772;298;em branco;1;Sof� de jacarand�, com veiludo verde, com 3 almofadas, estylo ingles, seculo XVII, medindo de assento 1m,75;em branco ;1, 75;em branco;Casa Laubisch - Rio.;5:000$000;;Bom ;comprado em 1928;19/12/1932
 Geral ;Gabinete do Ministro ;7772;299 - 300;em branco ;2;Poltronas pertencentes ao sof�, do mesmo material, assento 0m,53;em branco ;0,53;em branco;Casa Laubisch - Rio.;2:500$000;;Bom ;em branco;19/12/1932
 Geral ;Gabinete do Ministro ;7772;301;em branco ;1;Poltrona com bra�os e pernas de Jacarand�, assento e encostro de veiludo verde, assento 0m,68. Pertence ao sof�. ;em branco ;0,68;em branco;Casa Laubisch - Rio.;2:500$000;;Bom ;em branco;19/12/1932
 Geral ;Gabinete do Ministro ;7772;302;em branco ;1;Poltrona de Jacarand� com assento e encosto de veiludo verde, assento 0m,48. Parte do sof�. Estylo seculo XVII ingles. ;em branco ;0,48;em branco;Casa Laubisch - Rio.;2:500$000;;Bom ;em branco;19/12/1932
 Geral ;Gabinete do Ministro ;7773;303;em branco;1;Poltrona de Jacarand�, com grande espaldar, assento e encosto de veiludo verde. Estylo D. Jo�o V, antiga, com 0,50 de assento;em branco ;0,5;em branco;Leil�o Bastos Dias - Rio ;5:000$000;;Bom ;em branco;19/12/1932
 Geral ;Gabinete do Ministro ;7773;304 - 307;em branco;4;Poltrona de Jacarand�, assento e encosto de couro lavrado e taxeado. Estylo seculo XVII. Assento com 0m, 64. Antigas. ;em branco ;0,64;em branco;em branco ;2:000$000;8:000$000;Bom ;em branco;19/12/1932
 Geral ;Gabinete do Ministro ;7773;308 - 309;em branco;2;Cadeiras de Jacarand�, do mesmo estylo e semelhantes �s anteriores. Assento com 0m, 50;em branco;0,5;em branco;Galeria Jorge - Rio ;1:000$000;2:000$000;Bom ;em branco;19/12/1932
 Geral ;Gabinete do Ministro ;7773;310 - 311;em branco;2;Biombos de madeira, cobertos de damasco verde tazeado com 5 folhas de 2m x 3m. ;2;3;em branco;Rio de Janeiro;500$000;1:500$000;Bom;em branco;19/12/1932
 Geral ;Gabinete do Ministro ;7773;312;em branco;1;Biombo semelhante ao anterior, de 2m x 1m,80 ;2;1,8;em branco;em branco ;800$000;;Bom;em branco;19/12/1932
 Geral ;Gabinete do Ministro ;7773;313;em branco;1;Papeleira de Jacarand� com frisos e 4 p�s esculpidos. Estylo D. Jo�o V, antiga com 0m, 45 de altura;0,45;;em branco;Bastos Dias;400$000;;Bom;em branco;19/12/1932
 Geral ;Gabinete do Ministro ;7773;314;00136;1;Relog�o de madeira com ornatos de bronze embutido, com 4 p�s de bronze. Estylo ingles do seculo XVII antigos, com 0m, 47 de altura.;0,47;em branco;em branco;Rio de Janeiro;1:500$000;;Bom;em branco;19/12/1932
 Geral ;Gabinete do Ministro ;7773;315 - 16;0057;2;"vasos chinezas ""Fam�lia verde"", de porcellana, antigos com 0m, 54 de altura.";0,54;em branco;em branco;em branco ;10:000$000;;em branco;o n�mero 315 concertado;19/12/1932
 Geral ;Gabinete do Ministro ;7773;317 - 318;em branco;2;"Medalhas de bronze ""Ruy Barbosa"" e ""Bar�o do Rio Branco"", com p�s de m�rmore verde, com 0m, 21 de altura ";0,21;em branco;em branco;em branco ;100$000;200$000;bom;em branco;19/12/1932
 Geral ;Gabinete do Ministro ;7773;319 - 20;00056;2;Potiches de porcellana chineza, modernos, com 0m, 46 de altura ;0,46;em branco;em branco;Fran�a;400$000;800$000;bom;em branco;19/12/1932
 Geral ;Gabinete do Ministro ;7773;321;00021;1;"Panneau de tape�aria ""verdura"" com cercadura de flores, paisagem, seculo XVII, com 4m, 60 x  3m, 95.";4,6;3,95;em branco;Fran�a;40:000$000;40:000$000;bom;Pertenceu ao Bar�o do Rio Branco;19/12/1932
 Geral ;Gabinete do Ministro ;7773;322;00078;1;"Pintura a oleo sobre tela ""Visconde do Rio Branco"", pintada por L. Gudgy 1884, com moldura de madeira dourada, 1m, 80 x 1m, 40";1,8;1,4;em branco;Paris;5:000$0000;;bom;em branco;19/12/1932
 Geral ;Gabinete do Ministro ;7773;323;00079;1;Pintura a oleo do Bar�o do Rio Branco, em tela por vila e prades, em moldura de madeira dourada, com 2m, 50 x 1m, 60 ;2,5;1,6;em branco;Rio de Janeiro;4:000$000;;bom;em branco;19/12/1932
 Geral ;Gabinete do Ministro ;7773;324;00150;1;Lustre de bronze dourado com dez vellas e mangas de crystal com corrente, marcado P. LL;em branco;em branco;em branco;Pa�o Imperial de S�o Christovam ;5:000$000;;bom;em branco;19/12/1932
 Geral ;Gabinete do Ministro ;7773;325;em branco;1;Cesta de a�o para papel, estylo Roneo;em branco;em branco;em branco;Paul Christoph - Rio de Janeiro;50$000;;em branco;Servi�o;19/12/1932
 Geral ;Ante Sala do Ministro  ;7774;326;em branco;1;tapete persa, fundo azul e creme, de 5m, 75 x 3m, 70;5,75;3,7;em branco;Hirman;7:000$000;;bom;em branco;19/12/1932
 Geral ;Ante Sala do Ministro  ;7774;327;em branco;1;Sof� de Jacarand� com assento de linho e seda, de damasco vermelho. Estylo D. Jo�o V, antigo, mede 1m, 60, de assento;1;em branco;em branco;Rio de Janeiro;7:000$000;;bom;Pertence � sala Cotegipe. Pertenceu ao Conselheiro Amaral. ;19/12/1932
 Geral ;Ante Sala do Ministro  ;7774;328 - 31;em branco;4;Cadeiras de jacarand� pertencentes ao sof�. Mesmo estylo que o anterior. Assento 0m, 50.;0,5;em branco;em branco;Rio de Janeiro;1:000$000;4:000$000;bom;Pertence � sala Cotegipe. Pertenceu ao Conselheiro Amaral. ;19/12/1932
 Geral ;Ante Sala do Ministro  ;7774;332 - 33;em branco;2;Poltronas de Jacarand� com assento de damasco vermelho. Estylo D. Jo�o V, antigas. Assento 0m, 50. ;0,5;em branco;em branco;Rio de Janeiro;1:5000$000;3:000$000;bom;Pertence � sala Cotegipe. Pertenceu ao Conselheiro Amaral. ;19/12/1932
 Geral ;Ante Sala do Ministro  ;7774;334;0003;1;Armario de mogno, com duas portas, com applica��es de bronze. Estylo Imperio, com cinco prateleiras internas, p�s de garras, coroa e monograma imperial. Mede 2m, 40 x 1m, 20 x 0m, 55;2,4;1,2;0,55;Fran�a;1:500$000;3:000$000;bom;Restaurado pela Casa Laubisch;19/12/1932
 Geral ;Ante Sala do Ministro  ;7774;335 -36;00090 e 00039;2;"Aquarellas - ""Porto do Rio de Janeiro"" e Forte de Recife"", de 1840, com molduras de madeira dourada. Mede 1m, 55 x 0m, 75.";1,55;0,75;em branco;Rio de Janeiro;1:500$000;3:000$000;bom;em branco;19/12/1932
 Geral ;Ante Sala do Ministro  ;7774;337;00164;1;Lustre de bronze dourado, com seis velas. Estylo Luiz XVI, moderno. ;em branco;em branco;em branco;Fran�a;800$000;;bom;em branco;19/12/1932
 Geral ;Ante Sala do Ministro  ;7774;338;em branco;1;Mesas de encostar (de jacarand�) com duas gavetas, dois puxadores de prata, antiga, com p�s garras e bolas. Estylo D. Jo�o V. Com 1m x 0m, 58 x 0m, 60;1;0,58;0,6;Leil�o Bastos Dias - Rio;2:500$000;;bom;Pertence � sala Cotegipe. ;19/12/1932
 Geral ;Ante Sala do Ministro  ;7774;339;em branco;1;"Herma de bronze ""Alvares de Azevedo"", por A. Lam, 1907 - com placa cart�o de ouro. Mede 0m, 64 de altura";0,64;em branco;em branco;Fundi��o do Lycey das Artes e Officios de S�o Paulo;800$000;;bom;em branco;19/12/1932
 Geral ;Ante Sala do Ministro  ;7774;340;em branco;1;Biombo de madeira coberto de damasco verde taxeado com bres folhas. Mede 2m x 1m, 60.;2m;1,6;em branco;Rio de Janeiro;800$000;;bom;em branco;19/12/1932
 Geral ;Sala do Chefe de Gabinete ;7775;341;em branco;1;Tapete persa, com 5m,40 x 2m,60. ;5,4;2,6;em branco;Kuban. Caucaso.;1:800$000;;Usado;em branco;19/12/1932
 Geral  ;Sala do Chefe de Gabinete ;7775;342;em branco;1;Passadeira persa, fundo azul, com desenhos vermelhos. Mede 5m,50 x 1m,05. ;5,5;1,05;em branco;Hamadan.;2:500$000;;bom ;em branco;19/12/1932
 Geral  ;Sala do Chefe de Gabinete ;7775;343;em branco;1;Mesa de jacarand�, com dous gavet�es, dous puxadores de ferro. Estylo D. Jo�o V., antiga. Mede 2,m.27 x 1,m.05 x 0,m.90. ;2,27;1,05;0,9;Minas Gerais ;2:500$000;;Bom ;em branco;19/12/1932
 Geral ;Sala do Chefe de Gabinete ;7775;344;em branco;1;Secretaria de fechar,  de mogno, americana, com abas, 7 gavetas, e puxadores de metal, divis�es internas. Mede 1,m.85 x 0,m.41 x 0,m.31. ;1,85;0,41;0,31;em branco ;1:500$000;;Bom ;em branco;19/12/1932
 Geral  ;Sala do Chefe de Gabinete ;7775;345;00149;1;Coluna de marmore e bronze para ventilador.;em branco ;em branco;em branco;Italia.;200$000;;Bom;em branco;19/12/1932
 Geral  ;Sala do Chefe de Gabinete ;7775;346;00144;1;Relogio de pendulo carrilh�o, caixa de jacarand�, com embutidos. Mostrador de metal prateado e dourado. Armas imperiais de bronze dourado. Fabricado por Hobert Fleetwood Londres. Mede 2,m.53.;2,53;em branco;em branco;Fa�o Imperial de S�o Christovam;10:000$000;;Bom;em branco;19/12/1932
 Geral  ;Sala do Chefe de Gabinete ;7775;347;00082;1;Pintura a oleo, sobre tela, paysagem de C. Corot. Om moldura de madeira dourada. Mede 0,m.56 x 0,m.42;0,56;0,42;em branco;Fran�a ;12:000$000;;Bom;em branco;19/12/1932
 Geral  ;Sala do Chefe de Gabinete ;7775;348;00071;1;"Pintura a oleo, ""Domicio da Gama"", em tela, moldura dourada. Mede 1,m.10 x 0,m.85";1,1;0,85;em branco;em branco ;500$00;;Bom;em branco;19/12/1932
 Geral  ;Sala do Chefe de Gabinete ;7775;349;em branco;1;"Photographia ""Joaquim Nabuco"", com moldura de madeira bronzeada. Mede 0,m.87 x 0,m.75";0,87;0,75;em branco;em branco ;200$000;;Bom;em branco;19/12/1932
 Geral  ;Sala do Chefe de Gabinete ;7775;350;em branco;1;Classificador de alo, com quatro divis�es. Typo Roneo. ;em branco ;em branco;em brnaco;Paul Christoph;1:000$000;;Bom;Servi�o.;19/12/1932
 Geral  ;Sala do Chefe de Gabinete ;7775;351;em branco;1;Cesto de a�o para papel. Typo Roneo.;em branco ;em branco ;em branco ;Paul Christoph;50$000;;Bom;em branco;19/12/1932
 Geral  ;Sala do Chefe de Gabinete ;7775;352;00156;1;Lustre de metal dourado. Estylo Imperio, moderno, com seis lampadas.;em branco ;em branco ;em branco ;Rio de Janeiro ;300$000;;Bom;em branco;19/12/1932
 Geral  ;Sala do Chefe de Gabinete ;7775;353;em branco;1;Cadeira gyraoria de mogno, pertencent � Secretaria, assento de couro.;em branco ;em branco ;em branco ;Rio de Janeiro ;150$000;;Bom ;em branco;19/12/1932
 Geral  ;Sala da Dactylographa do Gabinete  ;7776;354;em branco;1;Tapete persa com fundo azul e desenhos vermelhos. Mede 1m, 75 x 1m, 25 ;1,75;1,25;em branco ;Anatolia;800$000;;Bom;em branco;19/12/1932
 Geral  ;Sala da Dactylographa do Gabinete  ;7776;355;em branco;1;Secretaria typo B.;em branco ;em branco ;em branco ;Laubisch;1:730$000;;em branco;Servi�o.;19/12/1932
 Geral  ;Sala da Dactylographa do Gabinete  ;7776;356;em branco;1;Mesa da daetylographa, typo D.;em branco ;em branco ;em branco ;Laubisch;1:267$000;;bom;Servi�o.;19/12/1932
 Geral  ;Sala da Dactylographa do Gabinete  ;7776;357;em branco;1;"Machina ""Underwood"", pequena, n� 94 R.E";em branco ;em branco ;em branco ;em branco ;2:000$000;;em branco;Servi�o.;19/12/1932
 Geral  ;Sala da Dactylographa do Gabinete  ;7776;358;00147;1;Mesa de cabeceira, de mogno com bronze dourado, tampo de marmore preto, armas imperiaes. Antigo. Estylo Imperio. Diametro 0m, 52. ;em branco ;em branco ;0, 52;Pa�o de S�o Christovam;1:000$000;;bom;em branco;19/12/1932
 Geral  ;Sala da Dactylographa do Gabinete  ;7776;359;em branco;1;Arm�rio de a�o. Typo Roneo.;em branco ;em branco ;em branco ;Harrinson & Sons;1:000$000;;em branco;Servi�o.;19/12/1932
 Geral  ;Sala da Dactylographa do Gabinete  ;7776;360;em branco;1;Estante de imbuya, com duas portas de vidro e 1 prateleira. Mede 0,91 x 0,11 x 0,29;0,91;0,11;0,29;em branco ;300$000;;bom;em branco;19/12/1932
 Geral  ;Sala da Dactylographa do Gabinete  ;7776;361;em branco;1;Papeleira de imbuya, com 8 gavetas. Mede 0,48 x 1m, 48 x 0,67;0,48;1,48;0,67;em branco ;300$000;;bom;em branco;19/12/1932
 Geral  ;Sala da Dactylographa do Gabinete  ;7776;362;em branco;1;Cadeira de virme, envernisada, gyratoria, mede de assento 0,18;0,18;em branco ;em branco ;Laubisch;250$000;;bom;em branco;19/12/1932
 Geral  ;Sala da Dactylographa do Gabinete  ;7776;363;em branco;1;Papeleira de imbuya, pequena, para mesa;em branco ;em branco ;em branco ;em branco ;50$000;;bom;em branco;19/12/1932
 Geral  ;Sala da Dactylographa do Gabinete  ;7776;364;00111;1;"Pintura � �leo, sobre tela, ""paysagem do Per�"", 1917. Moldura de casco de madeira e cantos de metal. Mede 1m, 45 x 1m, 45";1,45;1,45;em branco ;Comprado no Per� pelo Embaixador Raul Regis de Oliveira;1:000$000;;bom;em branco;19/12/1932
 Geral  ;Sala da Dactylographa do Gabinete  ;7776;365;00096;1;"Pintura � �leo, marinha ""Nordeste"", sobre madeira de Parreiras. Moldura de madeira dourada. Mede 0,34 x 046";0,34;0,46;em branco ;Rio;500$000;;bom;em branco;19/12/1932
 Geral  ;Sala da Dactylographa do Gabinete  ;7776;366;em branco;1;Cesta para papeis, typo Roneo. ;em branco ;em branco ;em branco ;Paul Christoph;50$000;;bom;servi�o;19/12/1932
 Geral  ;Sala da Dactylographa do Gabinete  ;7776;367;em branco;1;Aparelho de ferro para marcar o sello da Secretaria de Estado do Exterior;em branco ;em branco ;em branco ;em branco ;200$000;;bom;em branco;19/12/1932
 Geral  ;Sala da Dactylographa do Gabinete  ;7776;368;em branco;1;Furador para papeis de ferro.;em branco ;em branco ;em branco ;em branco ;400$000;;bom;servi�o;19/12/1932
 Geral  ;Sala da Dactylographa do Gabinete  ;7776;369;em branco;1;Lustre de metal dourado com tres lampadas.;em branco ;em branco ;em branco ;em branco ;350$000;;bom;em branco;19/12/1932
 Geral  ;Saleta do Elevador Ministerial ;7777;370;em branco;1;Tapete persa , com fundo azul. Mede 2,m, 40 x 1,m, 48;2, 40;1,48;em branco ;Antolla;1:000$000;;em branco;em branco;19/12/1932
 Geral  ;Saleta do Elevador Ministerial ;7777;371;00016;1;Mesa de encostar, de jacarand�, com dous gavet�es. Estylo 1630. Mede 0m, 67 de altura x 0m, 97 largura, 0m, 46.;0,67;0,97;0,46;Rio de Janeiro;600$000;;bom;em branco;19/12/1932
 \||N             ;Saleta do Elevador Ministerial ;7777;372;em branco;1;Cadeira de madeira, assento de couro. Estylo americano. Com 0m, 46. ass. ;em branco ;em branco ;em branco ;Paul Christoph  - Rio;50$000;;bom;em branco;19/12/1932
 Geral  ;Saleta do Elevador Ministerial ;7777;373;em branco;1;"Cadeira de jacarand�, com assento de palha, encosto ""pelicano lavrado"". 0m, 45. ass.";em branco ;em branco ;em branco ;em branco ;40$000;;bom;em branco;19/12/1932
 Geral  ;Saleta do Elevador Ministerial ;7777;374;em branco;1;Cesta de metal para papel.;em branco ;em branco ;em branco ;em branco ;50$000;;bom;em branco;19/12/1932
 Geral  ;Saleta do Elevador Ministerial ;7777;375;em branco;1;Plafonier de metal para papel;em branco ;em branco ;em branco ;em branco ;50$000;;bom;em branco;19/12/1932
 Geral  ;Saleta do Elevador Ministerial ;7777;376;em branco;1;Plafonier de bronze dourado no banheiro;em branco ;em branco ;em branco ;em branco ;50$000;;bom;em branco;19/12/1932
 Geral  ; Sala Ruy Barbosa  ;7778;377;em branco ;1;"Tapete Aubusson, fundo vermeho e verde claro; 1840 - Com 1,m.40 x 4,m.68. ";1,4;4,68;em branco;Fran�a ;100$000;;Muito usado ;Rstaurado;19/12/1932
 Geral  ; Sala Ruy Barbosa  ;7778;378 - 381;em branco ;4;Cortinas cantoneiras de Aubusson, com fundo verde creme com flores, 1927. ;em branco ;em branco;em branco;Paris ;10$000;40$000;Bom ;Tres cantoneiras pertenceram ao Bar�o do Rio Branco e a outra foi feita n. 378;19/12/1932
 Geral  ; Sala Ruy Barbosa  ;7778;382 - 385;00046 e 00047;4;Pares de cortinas Aubusson, mesmo typo que as cantoneiras. ;em branco ;em branco;em branco;Fran�a ;15$000;60$000;em branco;Pertenceram ao Bar�o do Rio Branco. ;19/12/1932
 Geral  ; Sala Ruy Barbosa  ;7778;386 - 393;00046;8;Sanefas de imbuia dourada, de 1927.;em branco ;em branco ;em branco ;Bettenfeld. Paris.;2000$000;15:000$000;Bom ;em branco;19/12/1932
 Geral  ; Sala Ruy Barbosa  ;7778;394 - 401;em branco;8;Bra�adeirasde bronze dourado. Estylo Liz XVI. ;em branco ;em branco;em branco;em branco ;250$000;2:000$000;em branco;em branco;19/12/1932
 Geral  ;Sala Ruy Barbosa ;7778;402;em branco ;1;Sof� de Aubusson, com fundo verde crme com fl�res, de imbuia dourada. Estylo XVI. O assento mede 2,m.40.;2,4;em branco;em branco;Fran�a ;25:000$000;;Usado ;em branco;19/12/1932
 Geral  ;Sala Ruy Barbosa ;7778;403 - 406;em branco;4;Poltronas do mesmo estylo e material pertencentes ao sof� anterior. O assento mede 0,m.63.;0,63;em branco;em branco;Fran�a;7:500$000;30:000$000;Boas;em branco;19/12/1932
 Geral  ;Sala Ruy Barbosa ;7778;407 - 408;em branco;2;Poltronas grandes do mesmo material pertencentes ao sof�. O assento mede 1,m.15.;1,15;em branco;em branco;Fran�a ;10:000$000;20:000$000;Boas;em branco;19/12/1932
 Geral  ;Sala Ruy Barbosa ;7778;409 - 414;em branco;6;Cadeiras, idem, idem. Assento mede 0,m.33;0,33;em branco ;em branco;em branco ;3:300$000;21:000$000;Boas;em branco;19/12/1932
 Geral  ;Sala Ruy Barbosa ;7778;415;00002;1;Dunkerque de pau rosa, com applica��es de bronze dourado, duas portas e ma prateleira. Com ... 1,m.55 x 1,m. 25 x 0,m.60.;1,55;1,25;0,6;em branco ;5:000$000;;em branco;Pertenceu � Marqueza do Itamaraty.;19/12/1932
 Geral  ;Sala Ruy Barbosa ;7778;416;00018;1;Consolo de madeira , Estylo Luiz XV, de 1840, com 0,m.96 de altura, 0,m38 de fundo e 0,m.78 de largura. ;0,96;0,78;0,38;Fran�a ;1:300$000;;em branco;Pertenceu � Marqueza do Itamaraty.;19/12/1932
 Geral ;Sala Ruy Barbosa ;7778;417;em branco;1;Candelabro de bronze, uma figura com cinco velas e mangas de chrystal. Com 0,m.87 de altura. ;0,87;em branco;em branco;Fran�a ;1:500$000;;em branco;Pertenceu � Marqueza do Itamaraty.;19/12/1932
 Geral ;Sala Ruy Barbosa ;7778;418;00178;1;"Busto de bronze ""Ruy Barbosa"", por C. Lima. Mede 0,m.78 de altura.";0,78;em branco;em branco;Rio de Janeiro ;2:000$000;;Bom;em branco;19/12/1932
 Geral  ;Sala Ruy Barbosa ;7778;419;00145;1;Pedestal de imbuia, com 1,m.22. ;1,22;em branco;em branco;em branco ;250$000;;Bom ;em branco;19/12/1932
 Geral  ;Sala Ruy Barbosa ;7779;420;00140;1;Relogio de bronze dourado em marmore, comduas figuras de Victor Faillard, mede 0,m.72 de altura ;0,72;em branco;em branco;Paris ;2:500$000;;Bom ;em branco;19/12/1932
 Geral  ;Sala Ruy Barbosa ;7779;421 - 422;00140;2;Candelabros de bronze estylo Luiz XVI em marmore branco, (vasos com flores) cada um com seis mangas de crystal.;em branco ;em branco;em branco;Fran�a ;2:500$000;;;em branco;19/12/1932
 Geral  ;Sala Ruy Barbosa ;7779;423;em branco;1;Espelho com moldura de cedro dourado, 2,m.20;2,2;em branco;em branco;em branco ;1:500$000;;Bom ;em branco;19/12/1932
 Geral  ;Sala Ruy Barbosa ;7779;424;00162;1;Lustre de bronze dourado com 12 mangas de crystal estylo Luiz XV moderno e com corrente. ;em branco ;em branco;em branco;Paris ;2:000$000;;Bom;em branco;19/12/1932
 Geral  ;Sala Ruy Barbosa ;7779;425;00115;1;"Pintura a oleo com tela ""Chegada do General Roca"" por B. Farlagreco - 1900 -2,m.54 x 1,m.40 ";2,54;1,4;em branco ;Rio ;2:000$000;;Bom ;em branco;19/12/1932
 Geral  ;Sala Ruy Barbosa ;7779;426;00107;1;"Pintura a ""gouache"" por Ouvarin, 0,m.48 x 0,m.55.";0,48;0,55;em branco ;Fran�a ;5:000$000;;Bom ;em branco;19/12/1932
 Geral  ;Sala Ruy Barbosa ;7779;427;00118;1;"Pintura a oleo em madeira ""Paisagem romana"", por Eugenio [sic] [Eug�ne?*] Verboeckhoven, moldua de madeira dourada, 0,m.58 x 0,m.48.";0,58;0,48;em branco;Fran�a ;8:000$000;;;em branco;19/12/1932
 Geral  ;Sala Ruy Barbosa ;7779;428;00088;1;"Pintura a oleo em madeira ""Paturage"" por Berr� em moldura de madeira dourada, 0,m.58 x 0,m.48";0,58;0,48;em branco;Fran�a ;3:000$000;;Bom ;em branco;19/12/1932
 Geral  ;Sala Verde ;7780;429;em branco;1;Tapete Aubusson 1840 fundo creme e vermelho com flores, mede 6,m.92 x 4,m.75;6,92;4,75;em branco ;Fran�a;75:000$000;;Usado ;Restaura��o em 1929 - pertenceu � pricesa Isabel ;19/12/1932
 Geral  ;Sala Verde ;7780;430 - 437;00038;8;V�os de cortinas de damasco verde com 2 pernas e 2 bra�adeiras de seda verde e 4 borlas.;em branco ;em branco;em branco;Casa Hartmann ;3:000$000;24:000$000;Bom ;Compradas em 1927;19/12/1932
 Geral  ;Sala Verde ;7780;438 - 445;00038;8;Sanefas de cedro dourado, estylo Luiz XVI. ;em branco ;em branco;em branco;Rio;300$000;2:400$000;Bom ;em branco;19/12/1932
 Geral  ;Sala Verde ;7780;446 - 459;00051;14;Bra�adeiras de bronze dourado estylo Luiz XVI.;em branco ;em branco;em branco;Fran�a ;150$000;2:100$000;Bom ;em branco;19/12/1932
 Geral  ;Sala Verde ;7780;460 - 461;em branco ;2;Bra�adeiras de bronze dourado, estylo Luiz XVI menores que as anteriores. ;em branco;em branco;em branco;Fran�a ;150$;300$000;Bom ;em branco;19/12/1932
